,video_frame,left,width,top,height,label
5296,57906_000718_Sideline_337,1090,15,362,16,H72
5297,57906_000718_Sideline_337,825,13,360,15,V39
5298,57906_000718_Sideline_337,735,14,354,14,H68
5299,57906_000718_Sideline_337,1040,15,424,15,V98
5300,57906_000718_Sideline_337,1089,13,414,13,V91
5301,57906_000718_Sideline_337,752,15,310,15,V58
5302,57906_000718_Sideline_337,1040,15,425,14,H70
5307,57906_000718_Sideline_338,615,17,371,18,V21
5308,57906_000718_Sideline_338,652,15,263,17,V27
5309,57906_000718_Sideline_338,770,16,312,15,H85
5310,57906_000718_Sideline_338,976,17,401,16,V49
5311,57906_000718_Sideline_338,1018,17,345,16,V93
5312,57906_000718_Sideline_338,742,16,410,16,H87
5313,57906_000718_Sideline_338,732,15,353,14,H68
5314,57906_000718_Sideline_338,1089,17,363,17,H72
5315,57906_000718_Sideline_338,731,16,292,17,H26
5316,57906_000718_Sideline_338,701,15,397,18,V23
5317,57906_000718_Sideline_338,825,12,360,16,V39
5318,57906_000718_Sideline_338,1040,16,425,15,H70
5319,57906_000718_Sideline_338,829,18,327,16,V57
5320,57906_000718_Sideline_338,1089,13,415,12,V91
5321,57906_000718_Sideline_338,1040,16,425,15,V98
5323,57906_000718_Sideline_339,613,18,372,16,V21
5324,57906_000718_Sideline_339,651,16,264,16,V27
5325,57906_000718_Sideline_339,976,17,402,16,V49
5326,57906_000718_Sideline_339,770,15,312,15,H85
5327,57906_000718_Sideline_339,698,17,398,18,V23
5328,57906_000718_Sideline_339,1018,17,345,16,V93
5329,57906_000718_Sideline_339,742,15,410,16,H87
5330,57906_000718_Sideline_339,1090,16,364,16,H72
5331,57906_000718_Sideline_339,732,14,353,15,H68
5332,57906_000718_Sideline_339,822,15,361,16,V39
5333,57906_000718_Sideline_339,730,15,291,18,H26
5334,57906_000718_Sideline_339,829,18,327,16,V57
5335,57906_000718_Sideline_339,1040,16,426,14,V98
5336,57906_000718_Sideline_339,729,16,291,17,V55
5337,57906_000718_Sideline_339,1041,16,426,15,H70
5338,57906_000718_Sideline_339,1090,12,415,12,H67
764,57906_000718_Sideline_34,862,11,451,11,H87
765,57906_000718_Sideline_34,188,13,360,13,V23
766,57906_000718_Sideline_34,594,11,168,11,V27
767,57906_000718_Sideline_34,563,10,180,11,H81
768,57906_000718_Sideline_34,829,11,336,9,H14
769,57906_000718_Sideline_34,694,11,335,11,H55
770,57906_000718_Sideline_34,735,11,299,15,V91
771,57906_000718_Sideline_34,715,11,373,12,V98
772,57906_000718_Sideline_34,763,12,304,13,H72
773,57906_000718_Sideline_34,880,10,326,10,H47
774,57906_000718_Sideline_34,693,12,335,11,V58
775,57906_000718_Sideline_34,735,11,299,15,V93
776,57906_000718_Sideline_34,972,11,317,12,H26
777,57906_000718_Sideline_34,772,11,416,11,V57
778,57906_000718_Sideline_34,874,11,401,15,H68
779,57906_000718_Sideline_34,874,11,402,14,H85
780,57906_000718_Sideline_34,765,12,330,16,H67
5339,57906_000718_Sideline_340,611,17,372,16,V21
5340,57906_000718_Sideline_340,696,17,400,18,V23
5341,57906_000718_Sideline_340,650,16,264,17,V27
5342,57906_000718_Sideline_340,770,14,312,14,H85
5343,57906_000718_Sideline_340,976,17,403,16,V49
5344,57906_000718_Sideline_340,740,15,411,15,H87
5345,57906_000718_Sideline_340,1091,16,365,17,H72
5346,57906_000718_Sideline_340,1017,19,345,16,V93
5347,57906_000718_Sideline_340,730,15,353,15,H68
5348,57906_000718_Sideline_340,822,14,361,16,V39
5349,57906_000718_Sideline_340,729,16,292,17,H26
5350,57906_000718_Sideline_340,829,17,327,17,V57
5351,57906_000718_Sideline_340,1040,16,426,15,H70
5352,57906_000718_Sideline_340,727,16,292,16,V55
5353,57906_000718_Sideline_340,730,15,352,16,H81
5354,57906_000718_Sideline_340,1042,14,426,14,V98
5355,57906_000718_Sideline_340,1090,12,414,13,H67
5356,57906_000718_Sideline_340,750,16,308,16,V58
5359,57906_000718_Sideline_341,609,17,372,18,V21
5360,57906_000718_Sideline_341,976,17,403,17,V49
5361,57906_000718_Sideline_341,650,16,264,17,V27
5362,57906_000718_Sideline_341,769,14,311,15,H85
5363,57906_000718_Sideline_341,695,17,401,17,V23
5364,57906_000718_Sideline_341,739,16,411,15,H87
5365,57906_000718_Sideline_341,1017,18,345,16,V93
5366,57906_000718_Sideline_341,729,14,353,14,H81
5367,57906_000718_Sideline_341,1090,17,367,17,H72
5368,57906_000718_Sideline_341,727,15,291,17,V55
5369,57906_000718_Sideline_341,820,15,362,16,V39
5370,57906_000718_Sideline_341,827,17,327,18,V57
5371,57906_000718_Sideline_341,726,16,292,16,H26
5372,57906_000718_Sideline_341,729,14,353,15,H68
5373,57906_000718_Sideline_341,1041,16,427,15,H70
5374,57906_000718_Sideline_341,1089,13,414,13,H67
5375,57906_000718_Sideline_341,750,15,308,15,V58
5378,57906_000718_Sideline_342,648,17,265,17,V27
5379,57906_000718_Sideline_342,728,14,353,14,H68
5380,57906_000718_Sideline_342,608,17,373,17,V21
5381,57906_000718_Sideline_342,693,17,403,17,V23
5382,57906_000718_Sideline_342,739,14,412,16,H87
5383,57906_000718_Sideline_342,768,14,311,15,H85
5384,57906_000718_Sideline_342,976,17,405,16,V49
5385,57906_000718_Sideline_342,1017,18,345,17,V93
5386,57906_000718_Sideline_342,1091,16,368,17,H67
5387,57906_000718_Sideline_342,819,14,362,16,V39
5388,57906_000718_Sideline_342,1091,16,368,16,H72
5389,57906_000718_Sideline_342,1087,15,415,13,V91
5390,57906_000718_Sideline_342,1042,15,430,13,H70
5391,57906_000718_Sideline_342,725,15,292,17,H26
5392,57906_000718_Sideline_342,827,15,328,16,V57
5399,57906_000718_Sideline_343,606,17,374,16,V21
5400,57906_000718_Sideline_343,648,16,265,17,V27
5401,57906_000718_Sideline_343,767,15,311,15,H85
5402,57906_000718_Sideline_343,691,16,405,17,V23
5403,57906_000718_Sideline_343,727,14,353,14,H68
5404,57906_000718_Sideline_343,738,14,413,16,H87
5405,57906_000718_Sideline_343,1017,18,345,17,V93
5406,57906_000718_Sideline_343,977,17,407,16,V49
5407,57906_000718_Sideline_343,1090,17,368,17,H72
5408,57906_000718_Sideline_343,818,14,363,16,V39
5409,57906_000718_Sideline_343,1091,16,368,17,V98
5410,57906_000718_Sideline_343,1088,14,415,13,H67
5411,57906_000718_Sideline_343,1043,14,430,14,H70
5412,57906_000718_Sideline_343,1088,14,415,14,V91
5413,57906_000718_Sideline_343,825,17,327,18,V57
5414,57906_000718_Sideline_343,723,17,292,17,H26
5415,57906_000718_Sideline_343,723,17,292,17,V55
5421,57906_000718_Sideline_344,605,17,374,18,V21
5422,57906_000718_Sideline_344,647,17,265,16,V27
5423,57906_000718_Sideline_344,766,16,311,16,V58
5424,57906_000718_Sideline_344,726,14,353,14,H68
5425,57906_000718_Sideline_344,978,16,408,16,V49
5426,57906_000718_Sideline_344,736,16,414,16,H87
5427,57906_000718_Sideline_344,691,15,407,16,V23
5428,57906_000718_Sideline_344,1017,18,345,17,V93
5429,57906_000718_Sideline_344,1092,17,369,16,H72
5430,57906_000718_Sideline_344,817,15,365,15,V39
5431,57906_000718_Sideline_344,1087,15,415,13,H67
5432,57906_000718_Sideline_344,722,17,293,17,H26
5433,57906_000718_Sideline_344,825,16,327,18,V57
5434,57906_000718_Sideline_344,748,14,311,14,H85
5435,57906_000718_Sideline_344,1087,15,415,13,V91
5436,57906_000718_Sideline_344,722,17,293,17,V55
5437,57906_000718_Sideline_344,1043,14,431,14,H70
5440,57906_000718_Sideline_345,604,16,374,18,V21
5441,57906_000718_Sideline_345,647,17,265,18,V27
5442,57906_000718_Sideline_345,735,15,413,17,V23
5443,57906_000718_Sideline_345,978,17,408,17,V49
5444,57906_000718_Sideline_345,1017,19,346,17,H47
5445,57906_000718_Sideline_345,725,15,354,13,H68
5446,57906_000718_Sideline_345,766,16,311,16,H85
5447,57906_000718_Sideline_345,690,15,410,17,H87
5448,57906_000718_Sideline_345,1092,16,371,15,H72
5449,57906_000718_Sideline_345,721,16,292,17,H26
5450,57906_000718_Sideline_345,1087,15,416,13,V91
5451,57906_000718_Sideline_345,1092,17,371,16,H67
5452,57906_000718_Sideline_345,978,17,408,17,V98
5453,57906_000718_Sideline_345,1017,18,346,17,V58
5454,57906_000718_Sideline_345,817,15,365,15,V39
5455,57906_000718_Sideline_345,825,15,327,17,V57
5456,57906_000718_Sideline_345,1042,15,430,13,H70
5457,57906_000718_Sideline_345,725,15,353,15,H81
5458,57906_000718_Sideline_345,817,15,365,15,V93
5463,57906_000718_Sideline_346,602,17,374,19,H81
5464,57906_000718_Sideline_346,734,16,414,16,V23
5465,57906_000718_Sideline_346,646,17,265,18,V27
5466,57906_000718_Sideline_346,979,17,410,16,H55
5467,57906_000718_Sideline_346,1018,17,346,16,H72
5468,57906_000718_Sideline_346,765,16,311,16,H85
5469,57906_000718_Sideline_346,689,15,411,18,H87
5470,57906_000718_Sideline_346,724,14,353,15,H68
5471,57906_000718_Sideline_346,1092,17,372,15,H67
5472,57906_000718_Sideline_346,815,15,366,16,V39
5473,57906_000718_Sideline_346,1087,15,416,14,V91
5474,57906_000718_Sideline_346,744,16,311,15,V58
5475,57906_000718_Sideline_346,720,15,292,16,V55
5476,57906_000718_Sideline_346,720,15,292,16,H26
5477,57906_000718_Sideline_346,824,16,328,18,V57
5480,57906_000718_Sideline_347,732,16,414,17,V23
5481,57906_000718_Sideline_347,601,16,375,18,H81
5482,57906_000718_Sideline_347,980,16,411,15,H55
5483,57906_000718_Sideline_347,646,17,265,18,V27
5484,57906_000718_Sideline_347,1017,19,346,17,V93
5485,57906_000718_Sideline_347,765,15,311,16,V58
5486,57906_000718_Sideline_347,723,15,354,14,H68
5487,57906_000718_Sideline_347,687,16,414,16,H87
5488,57906_000718_Sideline_347,814,16,367,16,V39
5489,57906_000718_Sideline_347,1093,16,372,16,H72
5490,57906_000718_Sideline_347,1087,15,416,14,V98
5491,57906_000718_Sideline_347,742,16,311,15,H85
5492,57906_000718_Sideline_347,719,16,292,16,H26
5493,57906_000718_Sideline_347,1110,14,422,13,V91
5494,57906_000718_Sideline_347,824,16,328,16,V57
5496,57906_000718_Sideline_348,599,17,375,19,H81
5497,57906_000718_Sideline_348,645,17,266,17,V27
5498,57906_000718_Sideline_348,732,16,415,16,V23
5499,57906_000718_Sideline_348,980,16,412,15,H55
5500,57906_000718_Sideline_348,1018,19,346,17,H72
5501,57906_000718_Sideline_348,764,16,311,16,H85
5502,57906_000718_Sideline_348,720,16,353,17,H68
5503,57906_000718_Sideline_348,686,16,416,17,H87
5504,57906_000718_Sideline_348,1090,19,372,20,H67
5505,57906_000718_Sideline_348,812,16,367,17,V39
5506,57906_000718_Sideline_348,1088,14,417,13,V91
5507,57906_000718_Sideline_348,741,17,311,18,V57
5508,57906_000718_Sideline_348,716,16,292,17,H26
5510,57906_000718_Sideline_349,644,18,266,17,V27
5511,57906_000718_Sideline_349,597,18,376,19,H81
5512,57906_000718_Sideline_349,731,16,415,16,V23
5513,57906_000718_Sideline_349,980,17,412,17,H55
5514,57906_000718_Sideline_349,763,16,311,16,H85
5515,57906_000718_Sideline_349,1019,17,346,17,H72
5516,57906_000718_Sideline_349,720,15,355,17,H68
5517,57906_000718_Sideline_349,1091,19,372,20,H67
5518,57906_000718_Sideline_349,812,15,367,18,V39
5519,57906_000718_Sideline_349,685,15,417,17,H87
5520,57906_000718_Sideline_349,715,14,291,18,H26
5521,57906_000718_Sideline_349,1088,14,417,14,V91
5522,57906_000718_Sideline_349,1088,14,417,14,V98
783,57906_000718_Sideline_35,862,11,451,12,H87
784,57906_000718_Sideline_35,188,13,360,13,V23
785,57906_000718_Sideline_35,593,11,168,10,V27
786,57906_000718_Sideline_35,563,10,179,11,H81
787,57906_000718_Sideline_35,830,11,335,10,H14
788,57906_000718_Sideline_35,763,12,303,13,H72
789,57906_000718_Sideline_35,693,12,335,11,V58
790,57906_000718_Sideline_35,878,12,325,11,H47
791,57906_000718_Sideline_35,735,13,299,15,V93
792,57906_000718_Sideline_35,715,11,373,11,H55
793,57906_000718_Sideline_35,970,12,317,12,H26
794,57906_000718_Sideline_35,693,12,334,12,V91
795,57906_000718_Sideline_35,764,13,331,15,H67
796,57906_000718_Sideline_35,772,11,413,12,V57
797,57906_000718_Sideline_35,871,11,401,15,H85
798,57906_000718_Sideline_35,845,12,387,13,H68
799,57906_000718_Sideline_35,715,11,373,12,V98
5524,57906_000718_Sideline_350,644,17,266,17,V27
5525,57906_000718_Sideline_350,1018,19,346,17,V93
5526,57906_000718_Sideline_350,596,17,377,19,H81
5527,57906_000718_Sideline_350,981,17,412,18,H55
5528,57906_000718_Sideline_350,730,16,416,15,V23
5529,57906_000718_Sideline_350,720,15,355,17,H68
5530,57906_000718_Sideline_350,1091,19,372,21,H72
5531,57906_000718_Sideline_350,761,17,310,17,V57
5532,57906_000718_Sideline_350,811,16,367,19,V39
5533,57906_000718_Sideline_350,1087,16,417,14,V98
5534,57906_000718_Sideline_350,1117,17,425,13,V91
5535,57906_000718_Sideline_350,713,15,291,17,H26
5536,57906_000718_Sideline_350,683,15,419,16,H87
5537,57906_000718_Sideline_350,713,15,291,17,H85
5541,57906_000718_Sideline_351,643,18,266,18,H85
5542,57906_000718_Sideline_351,1018,19,346,17,H72
5543,57906_000718_Sideline_351,594,18,377,19,H81
5544,57906_000718_Sideline_351,1117,18,424,14,V91
5545,57906_000718_Sideline_351,719,14,356,15,V23
5546,57906_000718_Sideline_351,761,17,310,17,H68
5547,57906_000718_Sideline_351,1091,19,372,21,H67
5548,57906_000718_Sideline_351,982,18,413,18,H55
5549,57906_000718_Sideline_351,730,15,416,16,H87
5550,57906_000718_Sideline_351,810,15,368,18,V39
5551,57906_000718_Sideline_351,1087,16,417,15,V98
5552,57906_000718_Sideline_351,712,15,291,17,V57
5553,57906_000718_Sideline_351,712,15,291,17,V21
5561,57906_000718_Sideline_352,1091,19,372,22,H72
5562,57906_000718_Sideline_352,1118,17,424,13,V91
5563,57906_000718_Sideline_352,593,18,378,18,H81
5564,57906_000718_Sideline_352,1018,19,346,17,H47
5565,57906_000718_Sideline_352,643,17,267,16,V27
5566,57906_000718_Sideline_352,983,19,414,17,H55
5567,57906_000718_Sideline_352,760,17,310,17,H26
5568,57906_000718_Sideline_352,717,15,357,15,H68
5569,57906_000718_Sideline_352,1087,15,417,15,V98
5570,57906_000718_Sideline_352,728,16,417,16,H87
5571,57906_000718_Sideline_352,810,15,368,18,V93
5572,57906_000718_Sideline_352,711,15,291,17,V55
5573,57906_000718_Sideline_352,737,15,312,15,H85
5574,57906_000718_Sideline_352,810,15,369,17,V39
5575,57906_000718_Sideline_352,816,14,335,15,V57
5579,57906_000718_Sideline_353,1090,20,372,22,H72
5580,57906_000718_Sideline_353,1018,19,346,17,H47
5581,57906_000718_Sideline_353,592,18,378,19,H81
5582,57906_000718_Sideline_353,642,18,267,16,V27
5583,57906_000718_Sideline_353,760,17,310,16,H26
5584,57906_000718_Sideline_353,1119,17,423,14,V91
5585,57906_000718_Sideline_353,984,18,416,16,H55
5586,57906_000718_Sideline_353,716,16,357,16,H68
5587,57906_000718_Sideline_353,727,15,417,17,H87
5588,57906_000718_Sideline_353,1087,15,418,13,V98
5589,57906_000718_Sideline_353,808,16,369,18,V23
5590,57906_000718_Sideline_353,709,15,292,16,V55
5591,57906_000718_Sideline_353,814,14,335,15,V93
5592,57906_000718_Sideline_353,808,16,369,17,V39
5593,57906_000718_Sideline_353,733,17,313,16,H85
5594,57906_000718_Sideline_353,824,14,327,14,V57
5595,57906_000718_Sideline_353,734,17,312,18,V58
5598,57906_000718_Sideline_354,642,16,267,17,V27
5599,57906_000718_Sideline_354,1090,19,372,22,H72
5600,57906_000718_Sideline_354,1018,19,346,17,V93
5601,57906_000718_Sideline_354,591,17,379,18,H81
5602,57906_000718_Sideline_354,715,15,358,15,H68
5603,57906_000718_Sideline_354,760,15,309,16,H85
5604,57906_000718_Sideline_354,986,16,417,15,H55
5605,57906_000718_Sideline_354,807,16,371,17,V39
5606,57906_000718_Sideline_354,725,16,417,17,V23
5607,57906_000718_Sideline_354,1119,17,423,14,V91
5608,57906_000718_Sideline_354,707,16,291,16,H26
5609,57906_000718_Sideline_354,1087,15,418,14,V98
5610,57906_000718_Sideline_354,732,15,312,15,V57
5611,57906_000718_Sideline_354,677,16,424,16,H87
5613,57906_000718_Sideline_355,589,17,379,18,H81
5614,57906_000718_Sideline_355,1017,19,345,18,V93
5615,57906_000718_Sideline_355,640,17,266,18,V27
5616,57906_000718_Sideline_355,714,16,358,16,H68
5617,57906_000718_Sideline_355,1090,18,372,22,H72
5618,57906_000718_Sideline_355,759,16,308,17,H85
5619,57906_000718_Sideline_355,724,16,418,15,V23
5620,57906_000718_Sideline_355,986,17,418,16,H55
5621,57906_000718_Sideline_355,1120,17,422,14,V91
5622,57906_000718_Sideline_355,806,16,372,18,V39
5623,57906_000718_Sideline_355,704,17,292,15,H26
5624,57906_000718_Sideline_355,1087,15,418,14,V98
5625,57906_000718_Sideline_355,674,17,425,15,H87
5631,57906_000718_Sideline_356,587,18,379,19,H81
5632,57906_000718_Sideline_356,1017,18,345,18,H72
5633,57906_000718_Sideline_356,640,17,266,18,V27
5634,57906_000718_Sideline_356,1089,18,372,22,H67
5635,57906_000718_Sideline_356,1119,18,422,15,V91
5636,57906_000718_Sideline_356,703,16,290,16,H26
5637,57906_000718_Sideline_356,756,17,307,18,V58
5638,57906_000718_Sideline_356,712,16,358,15,H47
5639,57906_000718_Sideline_356,756,17,307,18,V57
5640,57906_000718_Sideline_356,986,17,419,17,V49
5641,57906_000718_Sideline_356,987,17,419,17,H70
5642,57906_000718_Sideline_356,805,15,371,18,V39
5643,57906_000718_Sideline_356,639,18,266,18,V55
5644,57906_000718_Sideline_356,712,16,358,16,H68
5645,57906_000718_Sideline_356,805,15,371,18,V93
5646,57906_000718_Sideline_356,723,15,418,16,H55
5647,57906_000718_Sideline_356,723,14,418,16,V23
5648,57906_000718_Sideline_356,727,18,311,17,H85
5649,57906_000718_Sideline_356,673,15,425,16,H87
5650,57906_000718_Sideline_356,1086,16,418,15,V98
5653,57906_000718_Sideline_357,585,19,380,18,V21
5654,57906_000718_Sideline_357,1017,18,345,18,H72
5655,57906_000718_Sideline_357,1089,18,372,22,H67
5656,57906_000718_Sideline_357,638,18,266,18,V27
5657,57906_000718_Sideline_357,1120,17,422,16,V91
5658,57906_000718_Sideline_357,700,16,291,16,V55
5659,57906_000718_Sideline_357,710,16,358,15,V57
5660,57906_000718_Sideline_357,755,17,306,18,H85
5661,57906_000718_Sideline_357,987,17,420,17,H70
5662,57906_000718_Sideline_357,987,17,420,17,V49
5663,57906_000718_Sideline_357,755,17,306,18,H26
5664,57906_000718_Sideline_357,710,17,358,16,H68
5665,57906_000718_Sideline_357,803,16,372,18,V93
5666,57906_000718_Sideline_357,803,16,372,19,V39
5667,57906_000718_Sideline_357,722,15,419,17,H55
5668,57906_000718_Sideline_357,671,17,425,16,H81
5669,57906_000718_Sideline_357,727,15,311,16,V58
5670,57906_000718_Sideline_357,1086,16,418,16,V98
5671,57906_000718_Sideline_357,671,17,426,15,H87
5672,57906_000718_Sideline_357,820,13,330,15,H47
5673,57906_000718_Sideline_357,721,16,418,19,V23
5676,57906_000718_Sideline_358,1017,18,345,18,H47
5677,57906_000718_Sideline_358,585,17,380,19,V21
5678,57906_000718_Sideline_358,1089,18,371,23,H72
5679,57906_000718_Sideline_358,638,17,266,18,V27
5680,57906_000718_Sideline_358,1121,17,422,16,V91
5681,57906_000718_Sideline_358,753,19,306,18,H85
5682,57906_000718_Sideline_358,987,18,421,17,V49
5683,57906_000718_Sideline_358,720,15,420,18,H55
5684,57906_000718_Sideline_358,708,16,358,16,H81
5685,57906_000718_Sideline_358,698,16,291,16,V55
5686,57906_000718_Sideline_358,668,17,425,17,V23
5687,57906_000718_Sideline_358,987,18,421,17,H70
5688,57906_000718_Sideline_358,802,15,373,19,V39
5689,57906_000718_Sideline_358,709,16,357,18,H68
5690,57906_000718_Sideline_358,724,16,310,17,V57
5691,57906_000718_Sideline_358,802,15,373,19,V93
5692,57906_000718_Sideline_358,754,17,306,18,H26
5693,57906_000718_Sideline_358,1085,15,419,15,V98
5694,57906_000718_Sideline_358,668,17,426,16,H87
5697,57906_000718_Sideline_359,1017,18,345,18,H72
5698,57906_000718_Sideline_359,1089,18,372,23,H67
5699,57906_000718_Sideline_359,1121,19,422,16,V91
5700,57906_000718_Sideline_359,582,19,380,20,V21
5701,57906_000718_Sideline_359,752,19,305,19,V58
5702,57906_000718_Sideline_359,638,16,266,18,V27
5703,57906_000718_Sideline_359,989,17,422,18,V49
5704,57906_000718_Sideline_359,696,17,290,16,H26
5705,57906_000718_Sideline_359,989,17,422,18,H70
5706,57906_000718_Sideline_359,706,17,358,16,H68
5707,57906_000718_Sideline_359,719,16,420,18,H55
5708,57906_000718_Sideline_359,753,17,306,18,H85
5709,57906_000718_Sideline_359,637,17,266,18,V55
5710,57906_000718_Sideline_359,706,17,358,17,H81
5711,57906_000718_Sideline_359,800,16,373,18,V93
5712,57906_000718_Sideline_359,807,14,336,15,H47
5713,57906_000718_Sideline_359,800,16,374,18,V39
5714,57906_000718_Sideline_359,667,18,426,16,H87
5715,57906_000718_Sideline_359,667,18,426,16,V23
5716,57906_000718_Sideline_359,1085,15,419,15,V98
5717,57906_000718_Sideline_359,819,13,331,15,V57
804,57906_000718_Sideline_36,188,13,360,13,V23
805,57906_000718_Sideline_36,862,10,451,12,H87
806,57906_000718_Sideline_36,563,10,179,11,H81
807,57906_000718_Sideline_36,761,13,303,13,H72
808,57906_000718_Sideline_36,593,10,168,10,V27
809,57906_000718_Sideline_36,737,11,299,14,V93
810,57906_000718_Sideline_36,831,11,335,9,H67
811,57906_000718_Sideline_36,878,10,325,11,H47
812,57906_000718_Sideline_36,693,12,334,12,V58
813,57906_000718_Sideline_36,970,11,317,12,H26
814,57906_000718_Sideline_36,715,10,373,11,V98
815,57906_000718_Sideline_36,870,11,400,12,H85
816,57906_000718_Sideline_36,771,11,412,11,V57
817,57906_000718_Sideline_36,845,10,387,12,H68
818,57906_000718_Sideline_36,794,13,357,13,H14
5719,57906_000718_Sideline_360,1016,19,345,18,H47
5720,57906_000718_Sideline_360,1089,18,372,23,H72
5721,57906_000718_Sideline_360,581,18,381,18,H81
5722,57906_000718_Sideline_360,1122,18,422,16,V91
5723,57906_000718_Sideline_360,637,16,265,19,V27
5724,57906_000718_Sideline_360,752,17,306,18,H26
5725,57906_000718_Sideline_360,706,16,358,16,H68
5726,57906_000718_Sideline_360,717,16,420,17,V23
5727,57906_000718_Sideline_360,990,17,423,18,H55
5728,57906_000718_Sideline_360,667,16,425,17,H87
5729,57906_000718_Sideline_360,799,17,374,18,V93
5730,57906_000718_Sideline_360,990,17,423,18,H70
5731,57906_000718_Sideline_360,696,16,290,16,V55
5732,57906_000718_Sideline_360,752,18,307,17,H85
5733,57906_000718_Sideline_360,799,16,375,17,V39
5734,57906_000718_Sideline_360,805,16,337,14,V57
5737,57906_000718_Sideline_361,1016,19,345,18,H47
5738,57906_000718_Sideline_361,1089,18,372,23,H72
5739,57906_000718_Sideline_361,1122,19,423,16,V91
5740,57906_000718_Sideline_361,636,17,265,19,V27
5741,57906_000718_Sideline_361,705,16,358,15,H68
5742,57906_000718_Sideline_361,581,18,381,19,H81
5743,57906_000718_Sideline_361,750,18,305,19,H85
5744,57906_000718_Sideline_361,666,16,425,17,H87
5745,57906_000718_Sideline_361,716,16,420,17,V23
5746,57906_000718_Sideline_361,798,16,374,18,V39
5747,57906_000718_Sideline_361,990,17,424,18,H55
5748,57906_000718_Sideline_361,1085,16,421,14,V98
5755,57906_000718_Sideline_362,1015,19,345,18,H47
5756,57906_000718_Sideline_362,1123,19,423,17,V91
5757,57906_000718_Sideline_362,634,19,265,19,V27
5758,57906_000718_Sideline_362,1089,18,372,23,H72
5759,57906_000718_Sideline_362,703,17,357,16,H68
5760,57906_000718_Sideline_362,749,18,305,19,H85
5761,57906_000718_Sideline_362,580,18,381,20,H81
5762,57906_000718_Sideline_362,990,18,426,17,H55
5763,57906_000718_Sideline_362,714,17,420,18,V23
5764,57906_000718_Sideline_362,797,16,374,18,V39
5765,57906_000718_Sideline_362,664,17,425,16,H87
5766,57906_000718_Sideline_362,692,17,289,16,V55
5767,57906_000718_Sideline_362,1083,17,421,14,V98
5768,57906_000718_Sideline_362,802,18,336,16,V57
5769,57906_000718_Sideline_363,1015,20,345,18,H47
5770,57906_000718_Sideline_363,1124,18,423,18,V91
5771,57906_000718_Sideline_363,634,18,265,18,V27
5772,57906_000718_Sideline_363,991,19,427,18,H55
5773,57906_000718_Sideline_363,1088,20,371,23,H72
5774,57906_000718_Sideline_363,712,18,420,18,V23
5775,57906_000718_Sideline_363,702,16,357,16,H68
5776,57906_000718_Sideline_363,747,19,305,19,H85
5777,57906_000718_Sideline_363,578,19,382,20,H81
5778,57906_000718_Sideline_363,663,17,424,17,H87
5779,57906_000718_Sideline_363,796,16,375,18,V39
5780,57906_000718_Sideline_363,1082,19,421,15,V98
5781,57906_000718_Sideline_363,801,16,336,17,V57
5782,57906_000718_Sideline_363,691,15,289,16,H26
5784,57906_000718_Sideline_364,1014,20,345,18,H47
5785,57906_000718_Sideline_364,633,18,265,18,V27
5786,57906_000718_Sideline_364,1125,18,424,17,V91
5787,57906_000718_Sideline_364,1089,18,371,22,H72
5788,57906_000718_Sideline_364,711,16,420,19,H87
5789,57906_000718_Sideline_364,992,19,427,19,H55
5790,57906_000718_Sideline_364,701,16,356,16,H68
5791,57906_000718_Sideline_364,747,18,305,19,H85
5792,57906_000718_Sideline_364,661,17,424,17,V23
5793,57906_000718_Sideline_364,578,18,383,18,H81
5794,57906_000718_Sideline_364,794,16,376,18,V39
5795,57906_000718_Sideline_364,1082,18,421,15,V98
5796,57906_000718_Sideline_364,799,17,336,17,V93
5797,57906_000718_Sideline_364,689,16,289,15,V55
5798,57906_000718_Sideline_364,814,13,332,15,V57
5800,57906_000718_Sideline_365,1014,20,345,18,H47
5801,57906_000718_Sideline_365,633,18,265,18,V27
5802,57906_000718_Sideline_365,1124,20,424,17,V91
5803,57906_000718_Sideline_365,1087,20,371,22,H72
5804,57906_000718_Sideline_365,709,18,420,20,V23
5805,57906_000718_Sideline_365,576,18,383,18,H81
5806,57906_000718_Sideline_365,994,18,429,18,H55
5807,57906_000718_Sideline_365,746,19,306,17,H85
5808,57906_000718_Sideline_365,660,17,423,18,H87
5809,57906_000718_Sideline_365,792,15,376,20,V39
5810,57906_000718_Sideline_365,699,16,356,17,H68
5811,57906_000718_Sideline_365,688,14,288,15,V55
5812,57906_000718_Sideline_365,1082,17,421,15,V98
5813,57906_000718_Sideline_365,798,16,336,17,V93
5814,57906_000718_Sideline_365,812,13,332,16,V57
5817,57906_000718_Sideline_366,1013,20,345,19,H47
5818,57906_000718_Sideline_366,1125,20,425,17,V91
5819,57906_000718_Sideline_366,632,18,266,17,V27
5820,57906_000718_Sideline_366,1088,19,372,21,H72
5821,57906_000718_Sideline_366,575,18,383,19,H81
5822,57906_000718_Sideline_366,708,18,421,19,H87
5823,57906_000718_Sideline_366,994,20,431,18,H55
5824,57906_000718_Sideline_366,659,17,423,17,V23
5825,57906_000718_Sideline_366,745,19,306,17,H85
5826,57906_000718_Sideline_366,790,17,377,19,V39
5827,57906_000718_Sideline_366,697,16,356,17,H68
5828,57906_000718_Sideline_366,686,15,288,17,V55
5829,57906_000718_Sideline_366,1080,18,422,14,V98
5830,57906_000718_Sideline_366,797,16,337,16,V93
5831,57906_000718_Sideline_366,810,14,334,16,V57
5833,57906_000718_Sideline_367,1013,20,346,18,H47
